Year,Pos,Athlete,Country,D,E,Gender
2020,1,Artem Dolgopyat,ISR,6.6,8.6,M
2020,2,Nikita Nagorny,ROC,6.2,8.866,M
2020,3,Ryu Seong-Hyun,KOR,6.9,8.166,M
2020,4,Ray Zapata,ESP,6.5,8.541,M
2020,5,Kim Han-Sol,KOR,6.5,8.4,M
2020,6,Yul Moldauer,USA,5.8,9.066,M
2020,7,Xiao Ruoteng,CHN,6.2,8.666,M
2020,8,Milad Karimi,KAZ,6.4,8.366,M
2020,9,Shane Wiskus,USA,6,8.733,M
2020,10,Daiki Hashimoto,JPN,6.2,8.6,M
2020,11,Takeru Kitazono,JPN,6.2,8.466,M
2020,12,Giarnni Regini-Moran,GBR,6.4,8.366,M
2020,13,Ahmet Önder,TUR,6.3,8.3,M
2020,14,Wataru Tanigawa,JPN,5.9,8.566,M
2020,15,Sam Mikulak,USA,6.2,8.266,M
2020,16,Tang Chia-Hung,TPE,5.4,8.933,M
2020,17,Sun Wei,CHN,6,8.333,M
2020,18,Denis Ablyazin,ROC,6,8.4,M
2020,19,Benjamin Gischard,SUI,6,8.266,M
2020,20,Diogo Soares,BRA,5.2,9,M
2020,21,Lee Chih-Kai,TPE,5.7,8.5,M
2020,22,Pablo Brägger,SUI,5.9,8.333,M
2020,23,Joe Fraser,GBR,5.8,8.266,M
2020,24,Adem Asil,TUR,6.2,7.933,M
2020,25,Caio Souza,BRA,5.5,8.466,M
2020,26,Lin Chaopan,CHN,6.1,7.866,M
2020,27,Kazuma Kaya,JPN,5.6,8.333,M
2020,28,Yevhen Yudenkov,UKR,5.7,8.3,M
2020,29,James Hall,GBR,5.9,8.166,M
2020,30,Christian Baumann,SUI,5.4,8.433,M
2020,31,Shiao Yu-Jan,TPE,5.5,8.333,M
2020,32,Lukas Dauser,GER,5.6,8.166,M
2020,33,Ludovico Edalli,ITA,5.3,8.433,M
2020,34,Philipp Herder,GER,5.5,8.233,M
2020,35,Aleksandr Kartsev,ROC,5.9,8.033,M
2020,36,Lee Jun-Ho,KOR,5.8,7.933,M
2020,37,Artur Dalaloyan,ROC,5.7,8,M
2020,38,Loris Frasca,FRA,5.9,7.9,M
2020,39,Brody Malone,USA,5.5,8.266,M
2020,40,Néstor Abad,ESP,6,8.066,M
2020,41,Robert Tvorogal,LTU,5.4,8.233,M
2020,42,Tomás González,CHI,5.8,7.8,M
2020,43,Petro Paxnyuk,UKR,5.5,8.066,M
2020,44,Carlos Yulo,PHI,6.6,6.966,M
2020,45,Nicolau Mir,ESP,5.9,7.633,M
2020,46,Eddy Yusof,SUI,5.4,8.1,M
2020,47,Aleksandr Shatilov,ISR,5.7,7.9,M
2020,48,Joel Plata,ESP,6,7.6,M
2020,49,David Jessen,CZE,5.1,8.366,M
2020,50,Marios Georgiou,CYP,5.5,8.066,M
2020,51,Misha Koudinov,NZL,5.2,8.233,M
2020,52,Hung Yuan-Hsi,TPE,4.9,8.433,M
2020,53,?van Tixonov,AZE,5.5,7.833,M
2020,54,Omar Mohamed,EGY,5.8,7.533,M
2020,55,Daniel Corral,MEX,5.4,7.8,M
2020,56,Jeremiah Loo,MAS,5.5,7.6,M
2020,57,Francisco Barretto Júnior,BRA,5,8,M
2020,58,Nils Dunkel,GER,5,7.933,M
2020,59,David Belyavsky,ROC,5.2,7.733,M
2020,60,Illia Kovtun,UKR,5.7,7.166,M
2020,61,Uche Eke,NGR,4.7,8.133,M
2020,62,Andreas Toba,GER,5.4,7.533,M
2020,63,Arthur Mariano,BRA,5.6,7.6,M
2020,64,Rasul Abdurakhimov,UZB,4.8,7.766,M
2020,65,David Huddleston,BUL,4.2,8.233,M
2020,66,Thierno Diallo,ESP,5.8,7.033,M
2020,67,David Rumbutis,SWE,5.8,6.666,M
2020,68,René Cournoyer,CAN,5.6,6.466,M
2020,,Vladislav Polyashov,ROC,,,M
2020,,Zou Jingyuan,CHN,,,M
2016,1,Sam Mikulak,USA,6.8,9,M
2016,2,Jake Dalton,USA,6.7,8.9,M
2016,3,Kohei Uchimura,JPN,6.9,8.633,M
2016,4,Diego Hypólito,BRA,6.8,8.7,M
2016,4,Max Whitlock,GBR,6.8,8.7,M
2016,6,Kenzo Shirai,JPN,7.6,7.833,M
2016,7,Kristian Thomas,GBR,6.2,9.033,M
2016,8,Yusuke Tanaka,JPN,6.3,8.933,M
2016,9,Arthur Mariano,BRA,6.4,8.8,M
2016,10,Manrique Larduet,CUB,6.5,8.7,M
2016,11,Ray Zapata,ESP,6.7,8.383,M
2016,12,Benjamin Gischard,SUI,6.4,8.666,M
2016,13,Nile Wilson,GBR,6.5,8.566,M
2016,14,Tomás González,CHI,6.8,8.266,M
2016,15,Eddy Yusof,SUI,6.3,8.733,M
2016,16,Ryohei Kato,JPN,6.7,8.333,M
2016,17,Deng Shudi,CHN,6.9,8.133,M
2016,18,Scott Morgan,CAN,6.4,8.566,M
2016,19,Oskar Kirmes,FIN,6,8.933,M
2016,20,Sérgio Sasaki,BRA,6.3,8.6,M
2016,21,Zhang Chenglong,CHN,6.6,8.4,M
2016,22,Oleh Verniaiev,UKR,6.9,7.933,M
2016,23,Andreas Bretschneider,GER,6,8.8,M
2016,24,Alex Naddour,USA,6.4,8.4,M
2016,25,Denis Ablyazin,RUS,7.1,7.9,M
2016,26,Nikolay Kuksenkov,RUS,6.1,8.566,M
2016,27,David Belyavsky,RUS,6.5,8.2,M
2016,28,Chris Brooks,USA,6,8.533,M
2016,29,Jeffrey Wammes,NED,6.3,8.333,M
2016,30,Marcel Nguyen,GER,6,8.6,M
2016,31,Pablo Brägger,SUI,6.5,8,M
2016,32,Lee Sang-Uk,KOR,5.8,8.533,M
2016,33,Kieran Behan,IRL,6.3,8.033,M
2016,34,Ryan Patterson,RSA,6,8.4,M
2016,35,Kim Han-Sol,KOR,6.3,8.266,M
2016,36,Brinn Bevan,GBR,6.2,8.033,M
2016,37,Andrei Likhavitski,BLR,5.5,8.7,M
2016,38,Maksym Semiankiv,UKR,5.9,8.4,M
2016,39,Jossimar Calvo,COL,6.3,7.875,M
2016,40,Stian Skjerahaug,NOR,5.8,8.366,M
2016,41,Petro Paxnyuk,AZE,6.2,7.933,M
2016,42,Nikita Nagorny,RUS,6.8,7.266,M
2016,43,Fabian Hambüchen,GER,5.6,8.441,M
2016,44,Axel Augis,FRA,5.8,8.233,M
2016,45,Néstor Abad,ESP,6.1,8.033,M
2016,46,Bart Deurloo,NED,6.5,8.1,M
2016,47,Cyril Tommasone,FRA,5.4,8.766,M
2016,48,Sin Dong-Hyeon,KOR,5.7,8.366,M
2016,49,Oliver Hegi,SUI,5.8,8.166,M
2016,50,Oleq Stepko,AZE,5.9,8,M
2016,51,Robert Tvorogal,LTU,5.6,8.266,M
2016,52,Frank Rijken,NED,6.1,7.866,M
2016,53,Andrei Muntean,ROU,6.5,7.333,M
2016,54,Vladyslav Hryko,UKR,5.8,7.866,M
2016,55,Ihor Radivilov,UKR,6.1,7.766,M
2016,56,Lin Chaopan,CHN,6.6,7.066,M
2016,57,Marios Georgiou,CYP,5.8,7.866,M
2016,58,Aleksandr Shatilov,ISR,6,7.5,M
2016,59,Francisco Barretto Júnior,BRA,5.7,8.033,M
2016,60,Park Min-Su,KOR,5.7,7.9,M
2016,61,Misha Koudinov,NZL,5.8,7.8,M
2016,62,Ferhat Ar?can,TUR,6,7.233,M
2016,63,Julien Gobaux,FRA,5.6,7.566,M
2016,64,Randy Lerú,CUB,6.8,6.9,M
2016,65,Liu Yang,CHN,6,6.933,M
2016,66,Kévin Crovetto,MON,4.5,8.358,M
2016,67,Marian Dr?gulescu,ROU,6.7,6.1,M
2016,68,Mohamed Bourguieg,ALG,5.3,7.533,M
2016,69,Ludovico Edalli,ITA,5.9,6.533,M
2016,70,David Jessen,CZE,5.8,6.533,M
2016,71,Anton Fokin,UZB,4.7,7.1,M
2016,72,Andreas Toba,GER,1.3,8.633,M
2012,1,Zou Kai,CHN,6.9,9.1,M
2012,2,Kohei Uchimura,JPN,6.7,9.1,M
2012,3,Flavius Koczi,ROU,6.7,9.1,M
2012,4,Aleksandr Shatilov,ISR,6.6,9.1,M
2012,4,Jake Dalton,USA,6.6,9,M
2012,6,Tomás González,CHI,6.5,9.3,M
2012,7,Marcel Nguyen,GER,6.5,9.2,M
2012,8,Denis Ablyazin,RUS,6.9,8.9,M
2012,9,Ryohei Kato,JPN,6.6,8.8,M
2012,10,Gaël da Silva,FRA,6.5,9.2,M
2012,11,Kristian Thomas,GBR,6.3,9.3,M
2012,12,Sam Mikulak,USA,6.6,8.8,M
2012,13,Fabián González,ESP,6.3,9,M
2012,14,Max Whitlock,GBR,6.5,8.9,M
2012,15,Daniel Purvis,GBR,6.5,8.8,M
2012,16,John Orozco,USA,6.1,9.1,M
2012,17,Fabian Hambüchen,GER,6.1,9.2,M
2012,18,David Belyavsky,RUS,6.2,9,M
2012,19,Danell Leyva,USA,6.3,8.9,M
2012,20,Oleh Stepko,UKR,6.2,8.8,M
2012,21,Oleh Verniaiev,UKR,6.5,8.2,M
2012,22,Vlad Cotuna,ROU,6.4,8.7,M
2012,23,Javier Gómez,ESP,5.9,8.8,M
2012,24,Enrico Pozzo,ITA,5.9,9,M
2012,25,Claudio Capelli,SUI,6,8.6,M
2012,26,Philipp Boy,GER,6.2,8.4,M
2012,27,Kim Su-Myeon,KOR,6.6,8.2,M
2012,28,Sam Oldham,GBR,6.3,8.9,M
2012,29,Quazi Syque Caesar,BAN,5.8,8.9,M
2012,29,Cristian Ioan B??ag?,ROU,5.8,8.7,M
2012,31,Zhang Chenglong,CHN,6.5,8.5,M
2012,32,Sergio Muñoz,ESP,5.9,8.9,M
2012,33,?akir ??x?liyev,AZE,6.1,8.6,M
2012,34,Emin Garibov,RUS,5.7,8.9,M
2012,34,Mykola Kuksenkov,UKR,5.7,9.2,M
2012,36,Sérgio Sasaki,BRA,5.7,8.8,M
2012,37,Cyril Tommasone,FRA,5.8,8.8,M
2012,38,Jimmy Verbaeys,BEL,6,8.8,M
2012,39,Pierre-Yves Bény,FRA,5.4,9,M
2012,40,Feng Zhe,CHN,6,8.5,M
2012,41,Koji Yamamuro,JPN,6.2,8.2,M
2012,42,Ovidiu Buidoso,ROU,5.9,8,M
2012,43,Paolo Ottavi,ITA,5.6,8.7,M
2012,44,Martin Kone?ný,CZE,5.8,8.6,M
2012,45,Manuel Campos,POR,5.6,8.7,M
2012,46,Matteo Morandi,ITA,5.2,8.7,M
2012,47,Vitaliy Nakonechnyi,UKR,5.7,8.4,M
2012,48,Igor Pakhomenko,RUS,6.2,7.5,M
2012,49,Yang Hak-Seon,KOR,6.4,7.7,M
2012,50,Matteo Angioletti,ITA,5.5,8.4,M
2012,51,Felix Aronovich,ISR,5.6,8.3,M
2012,52,Isaac Botella,ESP,6.5,7.6,M
2012,53,Kieran Behan,IRL,6.4,7.8,M
2012,54,Roman Kulesza,POL,5.2,8.9,M
2012,55,Stepan Gorbachov,KAZ,5.8,8.1,M
2012,56,Mohamed El-Saharty,EGY,5.5,8.6,M
2012,57,Artur Davtyan,ARM,4.9,8.6,M
2012,58,Josh Jefferis,AUS,5.5,8.5,M
2012,59,Diego Hypólito,BRA,6,7.8,M
2012,60,Wajdi Bouallègue,TUN,6.4,8,M
2012,61,Kazuhito Tanaka,JPN,6,8.1,M
2012,62,Federico Molinari,ARG,4.5,9,M
2012,63,Shek Wai Hung,HKG,5.8,7.3,M
2012,64,Jorge Giraldo,COL,5.6,7.4,M
2012,65,Andreas Toba,GER,5.7,7.1,M
2012,66,Fabian Leimlehner,AUT,5.3,7.2,M
2012,67,Kim Hui-Hun,KOR,6.1,7.6,M
2012,68,Dmitrijs Trefilovs,LAT,5.4,7.7,M
2012,69,Kim Ji-Hun,KOR,5.5,7,M
2012,70,Guo Weiyang,CHN,5.6,7,M
2020,1,Vanessa Ferrari,ITA,5.9,8.266,F
2020,2,Simone Biles,USA,6.7,7.733,F
2020,3,Jade Carey,USA,6.2,7.9,F
2020,4,Rebeca Andrade,BRA,5.7,8.366,F
2020,5,Jessica Gadirova,GBR,5.5,8.533,F
2020,6,Viktoriya Listunova,ROC,5.6,8.4,F
2020,7,Angelina Melnikova,ROC,5.8,8.2,F
2020,8,Mai Murakami,JPN,5.8,8.133,F
2020,9,Jennifer Gadirova,GBR,5.4,8.4,F
2020,10,Vladislava Urazova,ROC,5.3,8.333,F
2020,11,Liliya Akhaimova,ROC,5.8,7.833,F
2020,12,Nina Derwael,BEL,5,8.566,F
2020,13,Jordan Chiles,USA,5.9,7.666,F
2020,14,MyKayla Skinner,USA,6,7.566,F
2020,15,Brooklyn Moors,CAN,5.1,8.433,F
2020,16,Grace McCallum,USA,5.6,7.966,F
2020,17,Zhang Jin,CHN,5.3,8.133,F
2020,18,Suni Lee,USA,5.6,7.833,F
2020,19,Lara Mori,ITA,5.3,8.1,F
2020,20,Tang Xijing,CHN,5.3,8.066,F
2020,21,Aiko Sugihara,JPN,5.3,8.033,F
2020,22,Hitomi Hatakeda,JPN,5.4,7.933,F
2020,23,Giulia Steingruber,SUI,5.4,7.9,F
2020,24,Kim Bui,GER,5.3,7.9,F
2020,25,Mélanie de Jésus dos Santos,FRA,5.4,8.066,F
2020,26,Georgia Godwin,AUS,5.6,7.566,F
2020,27,Eythora Thorsdottir,NED,5,8.133,F
2020,28,Alice D'Amato,ITA,5,8.033,F
2020,29,Shallon Olsen,CAN,5.4,7.633,F
2020,30,Lee Yun-Seo,KOR,5.2,7.766,F
2020,31,Jutta Verkest,BEL,4.8,8.133,F
2020,31,Elisabeth Seitz,GER,4.8,8.133,F
2020,33,Vera van Pol,NED,4.9,8,F
2020,34,Carolann Héduit,FRA,5.2,7.7,F
2020,35,Lieke Wevers,NED,4.7,8.166,F
2020,36,Marina González,ESP,5.1,7.766,F
2020,37,Barbora Mokošová,SVK,4.8,8.033,F
2020,38,Mandy Mohamed,EGY,5.1,7.733,F
2020,39,Maellyse Brassart,BEL,4.6,8.166,F
2020,40,Lisa Vaelen,BEL,4.7,8.066,F
2020,41,Alice Kinsella,GBR,5.4,7.666,F
2020,42,Pauline Schäfer-Betz,GER,4.6,8.133,F
2020,43,Diana Varinska,UKR,4.8,7.933,F
2020,44,Marine Boyer,FRA,5.1,7.733,F
2020,45,Martina Maggio,ITA,4.9,7.8,F
2020,46,Filipa Martins,POR,4.7,7.966,F
2020,47,Yuna Hiraiwa,JPN,5.2,7.766,F
2020,48,Lu Yufei,CHN,5,7.766,F
2020,48,Zsófia Kovács,HUN,5,7.766,F
2020,50,Sarah Voss,GER,4.7,7.9,F
2020,51,Ava Stewart,CAN,4.9,7.7,F
2020,52,Emily Whitehead,AUS,4.8,7.766,F
2020,53,Alba Petisco,ESP,5.1,7.466,F
2020,54,Yeo Seo-Jeong,KOR,5.3,7.266,F
2020,55,Roxana Popa,ESP,5.2,7.433,F
2020,56,Aline Friess,FRA,4.8,8,F
2020,57,Amelie Morgan,GBR,4.5,7.966,F
2020,58,Ana ?erek,CRO,4.7,7.733,F
2020,59,Lihie Raz,ISR,4.7,7.7,F
2020,60,Alexa Moreno,MEX,5.3,7.033,F
2020,60,Yelena Gerasimova,ROC,5.3,7.033,F
2020,62,Laura Bechdejú,ESP,4.8,7.5,F
2020,63,Ellie Black,CAN,5.3,6.966,F
2020,64,Farah Ann Abdul Hadi,MAS,4.6,7.633,F
2020,65,Maria Holbur?,ROU,4.9,7.3,F
2020,66,Luciana Alvarado,CRC,4.7,7.466,F
2020,67,Abigail Magistrati,ARG,4.5,7.633,F
2020,68,Ariana Orrego,PER,4.9,7.466,F
2020,69,Flávia Saraiva,BRA,5.3,6.766,F
2020,70,Elisa Hämmerle,AUT,4.4,7.7,F
2020,71,Marina Nekrasova,AZE,4.3,7.7,F
2020,72,Megan Ryan,IRL,4.7,7.6,F
2020,73,Gabriela Sasnal,POL,4.3,7.633,F
2020,74,Nazl? Savranba??,TUR,4.6,7.333,F
2020,75,Tan Sze En,SGP,4.3,7.633,F
2020,76,Asia D'Amato,ITA,5.1,7.033,F
2020,77,Naveen Daries,RSA,4.5,7.566,F
2020,78,Zeina Ibrahim Sharaf,EGY,4.2,7.5,F
2020,79,Caitlin Rooskrantz,RSA,4.6,7.133,F
2020,80,Aneta Holasová,CZE,4.4,6.7,F
2020,81,Hanna Traukova,BLR,4.4,6.733,F
2020,82,Raegan Rutty,CAY,3.8,6.833,F
2020,83,Pranati Nayak,IND,4.4,6.233,F
2020,84,Milka Elpitiya,SRI,4.5,5.8,F
2020,85,Simona Castro,CHI,3.9,6.333,F
2020,,Urara Ashikawa,JPN,,,F
2020,,Anastasiya Ilyankova,ROC,,,F
2020,,Ou Yushan,CHN,,,F
2016,1,Simone Biles,USA,6.8,8.933,F
2016,2,Aly Raisman,USA,6.6,8.675,F
2016,3,Vanessa Ferrari,ITA,6.2,8.666,F
2016,4,Laurie Hernandez,USA,6,8.8,F
2016,5,Giulia Steingruber,SUI,6.2,8.466,F
2016,6,Wang Yan,CHN,6.3,8.366,F
2016,7,Amy Tinkler,GBR,6.3,8.3,F
2016,8,Mai Murakami,JPN,6.2,8.366,F
2016,9,Gabby Douglas,USA,6.1,8.366,F
2016,10,Erika Fasana,ITA,6.1,8.233,F
2016,11,Claudia Fragapane,GBR,6.2,8.133,F
2016,12,Pauline Schäfer,GER,5.7,8.6,F
2016,13,Elisa Meneghini,ITA,5.6,8.633,F
2016,14,C?t?lina Ponor,ROU,5.9,8.3,F
2016,15,Ellie Black,CAN,5.8,8.333,F
2016,16,Shang Chunsong,CHN,6.3,7.8,F
2016,17,Aliya Mustafina,RUS,5.7,8.366,F
2016,18,Carlotta Ferlito,ITA,5.5,8.533,F
2016,19,Flávia Saraiva,BRA,5.6,8.433,F
2016,20,Rebeca Andrade,BRA,5.7,8.333,F
2016,21,Aiko Sugihara,JPN,5.8,8.233,F
2016,22,Isabela Onyshko,CAN,5.8,8.166,F
2016,23,Marine Brevet,FRA,5.3,8.633,F
2016,24,Rune Hermans,BEL,5.4,8.5,F
2016,25,Seda Tutkhalyan,RUS,5.8,8.075,F
2016,26,Shallon Olsen,CAN,6.1,7.766,F
2016,27,Lieke Wevers,NED,5.4,8.45,F
2016,28,Alexa Moreno,MEX,5.9,7.933,F
2016,29,Kim Bui,GER,5.6,8.166,F
2016,30,Jade Barbosa,BRA,5.9,7.933,F
2016,31,Céline van Gerner,NED,5.1,8.616,F
2016,32,Asuka Teramoto,JPN,5.6,8.1,F
2016,33,Oréane Lechenault,FRA,5.2,8.466,F
2016,34,Elisabeth Seitz,GER,5.3,8.366,F
2016,35,Ruby Harrold,GBR,5.5,8.133,F
2016,36,Eythora Thorsdottir,NED,6,7.633,F
2016,37,Gaëlle Mys,BEL,5.2,8.366,F
2016,38,Rose Woo,CAN,5.4,8.166,F
2016,39,Nina Derwael,BEL,5.2,8.433,F
2016,40,Fan Yilin,CHN,5.3,8.2,F
2016,40,Vera van Pol,NED,5.3,8.2,F
2016,42,Emma Larsson,SWE,5.7,7.8,F
2016,43,Filipa Martins,POR,5.3,8.133,F
2016,44,Laura Waem,BEL,4.9,8.466,F
2016,45,Louise Vanhille,FRA,5.1,8.2,F
2016,46,Katarzyna Jurkowska-Kowalska,POL,5.2,8.1,F
2016,47,Sophie Scheder,GER,5.1,8.166,F
2016,48,Lisa Ecker,AUT,5.5,7.766,F
2016,49,Sae Miyakawa,JPN,6.3,7.266,F
2016,50,Marine Boyer,FRA,5.1,8.133,F
2016,51,Toni-Ann Williams,JAM,5.4,7.8,F
2016,52,Ana ?erek,CRO,5.6,7.7,F
2016,53,Angelina Melnikova,RUS,6,7.2,F
2016,54,Ariana Orrego,PER,5.1,8.066,F
2016,55,Ana Pérez,ESP,5.6,7.533,F
2016,56,Anhelina Kysla,UKR,5.2,7.966,F
2016,57,Courtney McGregor,NZL,5.3,7.766,F
2016,58,Marcia Vidiaux,CUB,5.6,7.466,F
2016,59,Barbora Mokošová,SVK,4.8,8.233,F
2016,60,Irina Sazonova,ISL,5.2,7.8,F
2016,61,Houry Gebeshian,ARM,4.8,8.1,F
2016,62,Ana Sofía Gómez,GUA,5.8,7.5,F
2016,63,Isabella Amado,PAN,5.4,7.466,F
2016,64,Zsófia Kovács,HUN,5.5,7.266,F
2016,65,Jessica López,VEN,4.8,7.933,F
2016,66,Tutya Y?lmaz,TUR,5.2,7.633,F
2016,67,Larrissa Miller,AUS,5.9,6.833,F
2016,68,Lee Eun-Ju,KOR,4.7,7.866,F
2016,69,Sherine El-Zeiny,EGY,4.8,7.733,F
2016,70,Marisa Dick,TTO,4.9,7.633,F
2016,71,Hong Un-Jong,PRK,5.2,7.333,F
2016,72,Ellie Downie,GBR,5.4,7.1,F
2016,73,Daniele Hypólito,BRA,5.3,7.2,F
2016,74,Darya Spiridonova,RUS,5,7.333,F
2016,75,Dipa Karmakar,IND,5.2,7.133,F
2016,76,Ailen Valente,ARG,4.9,7.1,F
2016,77,Simona Castro,CHI,4.9,6.933,F
2016,78,Mao Yi,CHN,5.3,7,F
2016,79,Ellis O'Reilly,IRL,4.5,7.466,F
2016,80,Farah Boufadene,ALG,4.5,7,F
2016,81,Kylie Dickson,BLR,4,7.066,F
2016,82,Catalina Elena Escobar,COL,1.5,8.2,F
2012,1,Aly Raisman,USA,6.5,8.7,F
2012,2,Sandra Izba?a,ROU,6.3,9.1,F
2012,3,Vanessa Ferrari,ITA,6.2,8.6,F
2012,4,Kseniya Afanasyeva,RUS,5.9,8.7,F
2012,5,Lauren Mitchell,AUS,6.3,9,F
2012,6,Jordyn Wieber,USA,6,8.8,F
2012,7,C?t?lina Ponor,ROU,5.9,8.7,F
2012,8,Aliya Mustafina,RUS,5.9,8.9,F
2012,9,Beth Tweddle,GBR,5.8,8.4,F
2012,10,Diana Maria Chelaru,ROU,6,8.6,F
2012,11,Marta Pihan-Kulesza,POL,5.9,8.5,F
2012,12,Asuka Teramoto,JPN,5.5,9,F
2012,13,Sui Lu,CHN,5.6,8.7,F
2012,14,Dominique Pegg,CAN,5.7,8.5,F
2012,15,Ellie Black,CAN,5.8,8.4,F
2012,16,Ashleigh Brennan,AUS,5.7,8.4,F
2012,17,Daiane dos Santos,BRA,5.8,8.5,F
2012,18,Ana María Izurieta,ESP,5.7,8.6,F
2012,19,Jennifer Pinches,GBR,5.8,8.3,F
2012,20,Victoria Moors,CAN,6,8.5,F
2012,21,Anastasiya Grishina,RUS,5.7,8.6,F
2012,22,Erika Fasana,ITA,5.7,8.3,F
2012,23,Rebecca Tunney,GBR,5.7,8.6,F
2012,23,Ana Sofía Gómez,GUA,5.7,7.8,F
2012,25,Hannah Whelan,GBR,5.7,8.2,F
2012,26,Carlotta Ferlito,ITA,5.5,9,F
2012,27,Jessica López,VEN,5.5,8.4,F
2012,28,Viktoriya Komova,RUS,5.8,8.2,F
2012,29,Deng Linlin,CHN,5.5,8.2,F
2012,30,Kristina Vaculik,CAN,5.3,8.3,F
2012,31,Elisabeth Seitz,GER,5.5,8.4,F
2012,32,Larisa Iordache,ROU,5.9,7.7,F
2012,33,Gabby Douglas,USA,5.7,8.4,F
2012,34,Kyla Ross,USA,5.5,8.4,F
2012,35,Elsa García,MEX,5.6,8.4,F
2012,36,Yuko Shintake,JPN,5.4,8.3,F
2012,37,Kim Bui,GER,5.4,8.1,F
2012,38,Huang Qiushuang,CHN,5.3,7.9,F
2012,39,Anne Kuhm,FRA,5.7,8.1,F
2012,40,Saša Golob,SLO,5.3,8.2,F
2012,41,Tina Erceg,CRO,5.4,8.1,F
2012,42,Larrissa Miller,AUS,5.7,8.1,F
2012,43,Bruna Leal,BRA,5.1,8.5,F
2012,44,Aurélie Malaussena,FRA,5.3,8,F
2012,45,Elisabetta Preziosa,ITA,5,8.1,F
2012,46,Rie Tanaka,JPN,5,8.3,F
2012,47,Janine Berger,GER,5.2,8.1,F
2012,48,Nadine Jarosch,GER,5.6,7.2,F
2012,49,Heo Seon-Mi,KOR,5.3,8.4,F
2012,50,Ethiene Franco,BRA,5,7.9,F
2012,51,Gaëlle Mys,BEL,5.2,8.1,F
2012,52,Dorina Böczög?,HUN,5.3,7.9,F
2012,53,Jessica Gil,COL,5.1,8.3,F
2012,54,Yao Jinnan,CHN,5.3,7.7,F
2012,55,Kristýna Pálešová,CZE,5.2,8.1,F
2012,56,Céline van Gerner,NED,5.3,7.7,F
2012,57,Yu Minobe,JPN,5.4,7.6,F
2012,58,Vasiliki Millousi,GRE,4.8,7.9,F
2012,59,Valeriia Maksiuta,ISR,4.9,8.2,F
2012,60,Mira Boumejmajen,FRA,5,8.1,F
2012,61,Sophia Serseri,FRA,5.1,7.9,F
2012,62,Giulia Steingruber,SUI,5.6,7.7,F
2012,63,Angel Wong,HKG,5,7.6,F
2012,64,Laura Švilpait?,LTU,4.8,7.9,F
2012,65,Emily Little,AUS,5.3,7,F
2012,66,Simona Castro,CHI,4.7,8,F
2012,67,Valeria Pereyra,ARG,5.2,7.8,F
2012,68,Nataliya Kononenko,UKR,4.3,8.3,F
2012,69,Salma El-Said,EGY,5,7.4,F
2012,70,Jonna Adlerteg,SWE,5.1,8,F
2012,71,Phan Th? Hà Thanh,VIE,4.9,7.9,F
2012,72,Yamilet Peña,DOM,5,8,F
2012,73,Annika Urvikko,FIN,5,7.3,F
2012,74,Ralitsa Mileva,BUL,4.7,7.4,F
2012,75,Barbara Gasser,AUT,4.7,7,F
2012,76,Mária Homolová,SVK,4.5,7.6,F
2012,77,Lim Heem Wei,SGP,4.5,7.8,F
2012,78,Zoi Lima,POR,5.1,7.1,F
2012,79,Moldir Azimbay,KAZ,4.8,7.4,F
2012,80,Daniele Hypólito,BRA,5.4,5.9,F
2012,81,Lorena Quiñones,PUR,5.1,6.2,F
2012,82,Sherine El-Zeiny,EGY,4.5,6.6,F
